name,slug,brand,category,usage_area,price,subtitle,description,details,sensation,image_url,size,size_fl_oz,code,usage,ingredients,tips
Crazy Girl,crazy-girl,sexitive,Fragranza,,30.7,Aphrodisiac Eau de Toilette,"Una fragranza creata per le donne que emanano sicurezza e amano il gioco della seduzione. Un profumo fresco, seducente, sensuale e irresistibile","Note di Testa: lampone e limone di Amalfi                                                                                                                                                                                                                            Note di Cuore: gelsomino, fiore d'arancio africano e gardenia                                                                                                                                                                                            Note di Fondo: miele e ambra",Irresistibile,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,C51,,,
Hot Inevitable,hot-inevitable,sexitive,Fragranza,,37.8,Aphrodisiac Eau de Toilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.",Note di Testa: mango e bergamotto                                                                                                                                                                                                                                     Note di Cuore: gelsomino e incenso di olibano                                                                                                                                                                                                                     Note di Fondo: vaniglia e sandalo,Misterioso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01,,,
Hot Inevitable Privee,hot-inevitable-privee,sexitive,Fragranza,,37.8,Aphrodisiac Eau de Toilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.","Note di Testa: pera, pepe rosa e fiore d'arancio                                                                                                                                                                                                                 Note di Cuore: caffè, gelsomino, mandorla                                                                                                                                                                                                                            Note di Fondo: vaniglia e legno di cedro",Elegante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01V-1,,,
Hot Inevitable So Excited,hot-inevitable-so-excited,sexitive,Fragranza,,37.8,Aphrodisiac Eau de Toilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.","Note di Testa: peonia, peach e violetta                                                                                                                                                                                                                                  Note di Cuore: gigli, giglio bianco, giacinto, gelsomino, fresia                                                                                                                                                                                              Note di Fondo: muschio, legno di cedro, ambra",Vibrante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01V-2,,,
For Him,for-him,sexitive,Fragranza,,33.2,Aphrodisiac Eau de Toilette,"ISPIRATO A UN UOMO DISTINTO, MISTERIOSO E SENSUALE. Un ritratto olfattivo per l'amante sicuro di sé, capace di proiettare la forza iconica dell'attrazione sessuale","Note di Testa: mela verde, lavanda                                                                                                                                                                                                                                        Note di Fondo: abete, legno di cedro",Sicuro,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FH,,,
For Him Vip,for-him-vip,sexitive,Fragranza,,33.2,Aphrodisiac Eau de Toilette,"IL PROFUMO DELLA SEDUZIONE Una fragranza dallo spirito audace, intenso e irresistibile","Note di Testa: limone, zenzero e menta                                                                                                                                                                                                                                   Note di Fondo: Fava Tonka e Amberwood",Audace,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FH02,,,
Inevitable Men Aphrodisiac,inevitable-men-aphrodisiac,sexitive,Fragranza,,33.2,Aphrodisiac Eau de Toilette,Niente è più intenso di Inevitable,"Note di Testa: pompelmo, cardamomo e coriandolo                                                                                                                                                                                                                 Nota di Cuore: assenzio, geranio, artemisia e mango                                                                                                                                                                                                             Nota di Fondo: vetiver, legno di guaiaco e fava tonka",Intenso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IN01,,,
Inevitable Men Vip Aphrodisiac,inevitable-men-vip-aphrodisiac,sexitive,Fragranza,,33.2,Aphrodisiac Eau de Toilette,Niente è più intenso di Inevitable,"Note di Testa: incenso di Kyara                                                                                                                                                                                                                                           Note di Cuore: ambra e fava tonka                                                                                                                                                                                                                                            Note di Fondo: vaniglia, cuoio e note legnose",Misterioso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IN02,,,
Hi! Sex,hi-sex,sexitive,Afrodisiaco,,7,Integratore naturale,"È un afrodisiaco naturale, ma anche un invito a riconnetterti con la tua essenza, a risvegliare il tuo desiderio e a vivere la tua intimità in modo pieno e consapevole. La sua formula combina il potere di ingredienti millenari que rivitalizzano il corpo, potenziano l'energia e migliorano le prestazioni sessuali","Aumenta l´appetito sessuale e migliora gli orgasmi.                                                                                                                                                                                                      Promuove una sensazione di appagamento emotivo.                                                                                                                                                                                                       Migliora la circolazione nella zona genitale.                                                                                                                                                                                                                  Aumenta energia, vitalitáe desiderio.                                                                                                                                                                                                                               Formula equilibrata, completa e efficace.",Vitalizzante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,60 CAPS,,HSX-AE- 001,,L-Arginina - Damiana - Maca - Tribulus - Ginko - Zinc - Vitamina V6,
Hi! Sex,hi-sex,sexitive,Afrodisiaco,,69.7,Integratore naturale,"È un afrodisiaco naturale, ma anche un invito a riconnetterti con la tua essenza, a risvegliare il tuo desiderio e a vivere la tua intimità in modo pieno e consapevole. La sua formula combina il potere di ingredienti millenari que rivitalizzano il corpo, potenziano l'energia e migliorano le prestazioni sessuali","Aumenta l´appetito sessuale e migliora gli orgasmi.                                                                                                                                                                                                      Promuove una sensazione di appagamento emotivo.                                                                                                                                                                                                       Migliora la circolazione nella zona genitale.                                                                                                                                                                                                                  Aumenta energia, vitalitáe desiderio.                                                                                                                                                                                                                               Formula equilibrata, completa e efficace.",Vitalizzante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,4 CAPS,,HSX-AE- 003,,L-Arginina - Damiana - Maca - Tribulus - Ginko - Zinc - Vitamina V6,
Black Dragon,black-dragon,sexitive,Lubrificante ,vaginale,25.2,Crema Intensificante,"L'esclusiva formula di Sexitive, sviluppata con estratti naturali, favorisce una maggiore eccitazione e intensifica la risposta sessuale. Inizia con una sensazione calda e delicata que poi si intensifica profondamente","Appicando la crema Black Dragon, noterai un aumento del desiderio sessuale, acquisirai maggiore sicurezza in te stesso, vivrai il sesso di coppia in modo diverso e raggiungerai livelli di piacere mai provati prima, grazie al suo effetto caldo-freddo. Base aquosa",caldo/freddo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,50 ml,1.7 fl oz,DRN02,,,
More Sex - Berries,more-sex-berries,sexitive,Lubrificante ,vaginale,21.9,Gel Lubrificante,Goditi un delizioso sesso orale con una sensazione unica,"Texture leggera, setosa e la scorrevolezza a lunga durata garantiscono comfort e fluitá a ogni movimento. Base acquosa",Dolce,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMSB,,,
More Sex - Chocolate,more-sex-chocolate,sexitive,Lubrificante ,vaginale,21.9,Gel Lubrificante,Dimostra al partner que hai buon gusto. Questo lubrificante è stato creato per aggiungere sapore e migliorare il sesso orale.,"Texture leggera, setosa e la scorrevolezza a lunga durata garantiscono comfort e fluitá a ogni movimento. Base acquosa",Dolce,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMSC,,,
Mine My Pleasure,mine-my-pleasure,sexitive,Lubrificante ,vaginale,15,Gel Lubrificante ,"Gel lubrificante con L-Arginina, un amminoacido di origine naturale con capacità vasodilatatrice, specificamente formulato per aumentare l'eccitazione e la sensibilità del clitoride, favorendo orgasmi più intensi e veloci.",Sensibilitá migliorata: ideale per intensificare i preliminari e gli incontri intimi.                                                                                                                                                                                                   L-Arginina: stimola la circolazione per sensazioni piú profonde.                                                                                                                                                                                                                       Acido Lattico: mantiene il pH intimo e dona confort.                                                                                                                                                                                                                                               Base aquosa.,Intenso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMP,,,
Diva's Secret - Effetto Caldo,diva-s-secret-effetto-caldo,sexitive,Lubrificante ,vaginale,16.4,Gel Lubrificante,"Una volta applicato, genera un aumento della temperatura, massimizzando il piacere.","Acido Lattico: aiuta a mantenere il naturale equilibrio delle parti intime e aumenta la sensazione di calore.                                                                                                                           Vitamina E: idratante e antiossidante. Ammorbidisce, protegge e lascia una sensazione setosa che aumenta il piacere.                                                                                                       Base acquosa.",Caldo ,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,30 ml,1 fl oz,DVS01,,,
Diva's Secret - Effetto Stringente,diva-s-secret-effetto-stringente,sexitive,Lubrificante ,vaginale,18.7,Gel Lubrificante,"Dona una sensazione di compattezza, tonicitá e freschezza alle parte intime. La sua conbinazione di ingredienti attivi di alta qualitá aiuta a rivitalizzare la pelle, migliorandone l´elasticitá e regalando un´esperienza piú tonica, liscia e piacevole.","Acido Ialuronico: idrata in profonditá e migliora l´elasticitá, lasciando la pelle piú morbida ed elastica.                                                                                                                                         Amamelide (Hamamelis Virginiana): ha proprietá tonificanti e rinfrescante. Aiuta a rafforzare la tonicitá e a donare una maggiore sensazione di comfort.                                                                             Acido Lattico: contribuisce a mantenere il naturale equilibrio delle parte intime e migliora la texture della pelle.                                                                                                                                                         Base acquosa.",Tightening,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,30 ml,1 fl oz,DVS02,,,
Sens Bomb Maca,sens-bomb-maca,sexitive,Lubrificante ,vaginale,13.9,Gel Intimo Con Estratti Natural,"Tutto il potere afrodisiaco della Maca concentrato in questo gel intimo femminile, que offre stimolazione, attivazione e potenzamiento della sensibilitá intima.","Effetto riscaldante estimulante, aumenta il piacere. Di texture morbida e liscia. Base acquosa.",Caldo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,70 ml,2.5 fl oz,,,,
Sens Bomb Sandalo,sens-bomb-sandalo,sexitive,Lubrificante ,vaginale,13.9,Gel Intimo Con Estratti Natural,"La sua formula stimolante e afrodisiaco, il Sandalo Rosso transforma ogni carezza in un´ondata de caldo e avvolgente piacere. Appena aplicato, il gel inizia ad attivare la pelle, un calore progressivo, delizioso e profondamente eccitante che aumenta la sensibilitá e rende l´incontro un´esperienza piú intensa e passionale.","Effetto riscaldante attiva, stimola e aumenta il piacere. Aumenta la sensibilitá. Sandalo rosso, aroma caldo, sensuale e profondamente erotico. Base acquosa.",Caldo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,70 ml,2.5 fl oz,,,,
